Local time,Open,High,Low,Close,Volume
31.12.2022 23:00:00.000 GMT+0100,16604,16683,16588,16645,0.0277
01.01.2023 23:00:00.000 GMT+0100,16645,16816,16585,16786,0.08240000000000001
02.01.2023 23:00:00.000 GMT+0100,16786,16804,16640,16697,0.015199999999999998
03.01.2023 23:00:00.000 GMT+0100,16697,17023,16683,16865,0.48399999999999993
04.01.2023 23:00:00.000 GMT+0100,16857,16906,16792,16881,0.035800000000000005
05.01.2023 23:00:00.000 GMT+0100,16881,17063,16717,16969,0.3224
06.01.2023 23:00:00.000 GMT+0100,16969,17040,16949,16981,0.22810000000000002
07.01.2023 23:00:00.000 GMT+0100,17001,17059,16957,16999,0.6174999999999999
08.01.2023 23:00:00.000 GMT+0100,17020,17431,17004,17221,0.7548999999999998
09.01.2023 23:00:00.000 GMT+0100,17213,17525,17171,17508,0.5636
10.01.2023 23:00:00.000 GMT+0100,17498,17611,17354,17599,0.19839999999999994
11.01.2023 23:00:00.000 GMT+0100,17599,19138,17555,18868,0.6967000000000001
12.01.2023 23:00:00.000 GMT+0100,18868,19928,18759,19856,0.0992
13.01.2023 23:00:00.000 GMT+0100,19856,21347,19801,20945,1.3109
14.01.2023 23:00:00.000 GMT+0100,20946,21113,20610,20943,1.5391000000000001
15.01.2023 23:00:00.000 GMT+0100,20875,21480,20666,21171,0.5659
16.01.2023 23:00:00.000 GMT+0100,21171,21617,20897,21354,1.8799999999999997
17.01.2023 23:00:00.000 GMT+0100,21354,21632,20444,20815,0.482
18.01.2023 23:00:00.000 GMT+0100,20810,21223,20676,20974,0.3601
19.01.2023 23:00:00.000 GMT+0100,20974,22469,20905,22382,0.46659999999999996
20.01.2023 23:00:00.000 GMT+0100,22382,23385,22382,23239,0.5369
21.01.2023 23:00:00.000 GMT+0100,23239,23275,22351,22630,1.9295
22.01.2023 23:00:00.000 GMT+0100,22654,23180,22562,23034,0.9764999999999999
23.01.2023 23:00:00.000 GMT+0100,23030,23196,22764,22940,0.48279999999999995
24.01.2023 23:00:00.000 GMT+0100,22932,23731,22371,23633,0.5713000000000001
25.01.2023 23:00:00.000 GMT+0100,23633,23848,22873,23112,0.5475999999999999
26.01.2023 23:00:00.000 GMT+0100,23112,23534,22581,23129,0.2152
27.01.2023 23:00:00.000 GMT+0100,23129,23256,22927,23043,0.04510000000000001
28.01.2023 23:00:00.000 GMT+0100,23043,23993,23009,23834,0.10570000000000002
29.01.2023 23:00:00.000 GMT+0100,23834,23912,22607,22783,0.19639999999999996
30.01.2023 23:00:00.000 GMT+0100,22771,23249,22550,22985,0.19140000000000004
31.01.2023 23:00:00.000 GMT+0100,22982,23831,22818,23719,0.23600000000000004
01.02.2023 23:00:00.000 GMT+0100,23719,24286,23460,23498,1.3906
02.02.2023 23:00:00.000 GMT+0100,23458,23749,23253,23423,0.3799
03.02.2023 23:00:00.000 GMT+0100,23423,23616,23321,23456,0.1908
04.02.2023 23:00:00.000 GMT+0100,23481,23484,22802,22936,1.4326
05.02.2023 23:00:00.000 GMT+0100,22936,23186,22679,22952,0.16630000000000003
06.02.2023 23:00:00.000 GMT+0100,22952,23377,22680,23232,0.1451
07.02.2023 23:00:00.000 GMT+0100,23232,23476,22715,22995,0.1403
08.02.2023 23:00:00.000 GMT+0100,22995,23043,21740,21894,0.44380000000000003
09.02.2023 23:00:00.000 GMT+0100,21895,21989,21514,21600,0.36569999999999997
10.02.2023 23:00:00.000 GMT+0100,21600,21902,21584,21891,0.09739999999999999
11.02.2023 23:00:00.000 GMT+0100,21891,22123,21750,21777,0.2413
12.02.2023 23:00:00.000 GMT+0100,21777,21934,21415,21649,1.4533
13.02.2023 23:00:00.000 GMT+0100,21649,22317,21595,22286,0.1474
14.02.2023 23:00:00.000 GMT+0100,22286,24348,22089,24215,0.6483999999999998
15.02.2023 23:00:00.000 GMT+0100,24215,25283,24155,24571,0.44860000000000005
16.02.2023 23:00:00.000 GMT+0100,24571,25048,23387,24542,0.40790000000000004
17.02.2023 23:00:00.000 GMT+0100,24546,24910,24123,24655,0.13240000000000002
18.02.2023 23:00:00.000 GMT+0100,24655,25224,24311,24581,0.36419999999999997
19.02.2023 23:00:00.000 GMT+0100,24581,25143,23888,24807,0.6779
20.02.2023 23:00:00.000 GMT+0100,24806,25285,24193,24233,1.2557999999999998
21.02.2023 23:00:00.000 GMT+0100,24233,24510,23623,23838,0.7818000000000002
22.02.2023 23:00:00.000 GMT+0100,23838,24633,23657,23914,0.39269999999999994
23.02.2023 23:00:00.000 GMT+0100,23914,24164,22896,23159,0.1623
24.02.2023 23:00:00.000 GMT+0100,23159,23282,22810,22979,0.0612
25.02.2023 23:00:00.000 GMT+0100,22979,23718,22946,23596,0.0758
26.02.2023 23:00:00.000 GMT+0100,23596,23900,23163,23418,0.5825
27.02.2023 23:00:00.000 GMT+0100,23418,23631,23071,23183,0.1804
28.02.2023 23:00:00.000 GMT+0100,23160,24017,23058,23595,0.2576
01.03.2023 23:00:00.000 GMT+0100,23588,23830,23240,23451,0.1308
02.03.2023 23:00:00.000 GMT+0100,23451,23590,22035,22302,0.658
03.03.2023 23:00:00.000 GMT+0100,22302,22470,22203,22250,0.48139999999999994
04.03.2023 23:00:00.000 GMT+0100,22250,22688,22243,22523,0.9309999999999999
05.03.2023 23:00:00.000 GMT+0100,22523,22600,22314,22444,0.8382
06.03.2023 23:00:00.000 GMT+0100,22444,22585,21975,22088,0.15270000000000003
07.03.2023 23:00:00.000 GMT+0100,22088,22311,21897,22044,0.10049999999999998
08.03.2023 23:00:00.000 GMT+0100,22038,22049,20091,20269,0.7734000000000001
09.03.2023 23:00:00.000 GMT+0100,20283,20530,19613,20160,0.31199999999999994
10.03.2023 23:00:00.000 GMT+0100,20160,21655,19902,21525,1.505
11.03.2023 23:00:00.000 GMT+0100,20477,20764,20438,20620,0.5448
12.03.2023 22:00:00.000 GMT+0100,21524,24625,21310,24240,3.3774999999999995
13.03.2023 22:00:00.000 GMT+0100,24240,26535,24020,24662,3.3391000000000006
14.03.2023 22:00:00.000 GMT+0100,24663,25281,23960,24414,3.1447
15.03.2023 22:00:00.000 GMT+0100,24414,25236,24221,24775,2.9642000000000004
16.03.2023 22:00:00.000 GMT+0100,24775,27015,24741,26855,2.8461
17.03.2023 22:00:00.000 GMT+0100,26855,27879,26672,27400,0.5787000000000001
18.03.2023 22:00:00.000 GMT+0100,27399,28437,26895,28001,0.6735
19.03.2023 22:00:00.000 GMT+0100,28001,28594,27260,28121,2.6113
20.03.2023 22:00:00.000 GMT+0100,28120,28537,27451,28187,4.7391999999999985
21.03.2023 22:00:00.000 GMT+0100,28187,28935,26718,27427,1.0527
22.03.2023 22:00:00.000 GMT+0100,27427,28850,27077,28370,3.0288999999999997
23.03.2023 22:00:00.000 GMT+0100,28371,28526,27498,27653,2.0599
24.03.2023 22:00:00.000 GMT+0100,27653,27845,27232,27418,0.14370000000000002
25.03.2023 22:00:00.000 GMT+0100,27418,28256,27413,27841,0.1933
26.03.2023 23:00:00.000 GMT+0200,27841,28192,26563,27079,0.6167
27.03.2023 23:00:00.000 GMT+0200,27063,27545,26683,27346,0.2784
28.03.2023 23:00:00.000 GMT+0200,27346,28678,27149,28428,0.2405
29.03.2023 23:00:00.000 GMT+0200,28428,29209,27738,28190,0.694
30.03.2023 23:00:00.000 GMT+0200,28214,28687,27569,28423,0.3732000000000001
31.03.2023 23:00:00.000 GMT+0200,28423,28887,28285,28496,0.1093
01.04.2023 23:00:00.000 GMT+0200,28490,28604,27917,28111,0.047299999999999995
02.04.2023 23:00:00.000 GMT+0200,28111,28529,27528,27625,0.20320000000000005
03.04.2023 23:00:00.000 GMT+0200,27625,28472,27264,28295,0.2464
04.04.2023 23:00:00.000 GMT+0200,28275,28816,27849,28190,0.29259999999999997
05.04.2023 23:00:00.000 GMT+0200,28190,28272,27758,28029,0.15130000000000002
06.04.2023 23:00:00.000 GMT+0200,28009,28148,27829,27924,0.15280000000000002
07.04.2023 23:00:00.000 GMT+0200,27924,28233,27924,27973,0.0875
08.04.2023 23:00:00.000 GMT+0200,27973,28303,27860,28168,0.1241
09.04.2023 23:00:00.000 GMT+0200,28168,29341,28168,29174,0.35519999999999996
10.04.2023 23:00:00.000 GMT+0200,29174,30608,29154,30226,1.3279999999999994
11.04.2023 23:00:00.000 GMT+0200,30226,30537,29717,29996,0.6282
12.04.2023 23:00:00.000 GMT+0200,29996,30645,29859,30321,0.6314
13.04.2023 23:00:00.000 GMT+0200,30316,31069,30043,30507,1.2118
14.04.2023 23:00:00.000 GMT+0200,30539,30685,30294,30369,0.15639999999999998
15.04.2023 23:00:00.000 GMT+0200,30351,30599,30186,30396,0.0337
16.04.2023 23:00:00.000 GMT+0200,30396,30481,29298,29496,0.2472
17.04.2023 23:00:00.000 GMT+0200,29496,30521,29161,30459,0.1017
18.04.2023 23:00:00.000 GMT+0200,30459,30479,29060,29285,0.2692
19.04.2023 23:00:00.000 GMT+0200,29285,29290,28040,28243,0.5011
20.04.2023 23:00:00.000 GMT+0200,28228,28400,27225,27316,1.3074
21.04.2023 23:00:00.000 GMT+0200,27316,27809,27196,27676,0.042800000000000005
22.04.2023 23:00:00.000 GMT+0200,27663,27918,27388,27537,0.07539999999999998
23.04.2023 23:00:00.000 GMT+0200,27537,28030,27020,27493,0.2335
24.04.2023 23:00:00.000 GMT+0200,27490,28082,27232,28018,1.1721000000000001
25.04.2023 23:00:00.000 GMT+0200,28018,30055,27287,28455,1.9559000000000002
26.04.2023 23:00:00.000 GMT+0200,28349,29917,28144,29670,1.4535000000000002
27.04.2023 23:00:00.000 GMT+0200,29669,29821,28951,29384,0.2658
28.04.2023 23:00:00.000 GMT+0200,29385,29525,29099,29277,0.0959
29.04.2023 23:00:00.000 GMT+0200,29277,29995,29143,29386,0.22450000000000003
30.04.2023 23:00:00.000 GMT+0200,29386,29541,27705,27712,0.1612
01.05.2023 23:00:00.000 GMT+0200,27723,28927,27723,28732,0.05700000000000001
02.05.2023 23:00:00.000 GMT+0200,28726,28863,28174,28565,0.34419999999999995
03.05.2023 23:00:00.000 GMT+0200,28565,29412,28565,28921,0.5503
04.05.2023 23:00:00.000 GMT+0200,28920,29730,28796,29582,0.2992
05.05.2023 23:00:00.000 GMT+0200,29582,29910,28452,28885,0.2911
06.05.2023 23:00:00.000 GMT+0200,28885,29225,28742,28987,0.22110000000000002
07.05.2023 23:00:00.000 GMT+0200,28987,29022,27325,27594,0.2562
08.05.2023 23:00:00.000 GMT+0200,27594,27865,27408,27693,0.1399
09.05.2023 23:00:00.000 GMT+0200,27693,28363,26862,27918,0.4377
10.05.2023 23:00:00.000 GMT+0200,27919,27919,26765,27042,0.22460000000000002
11.05.2023 23:00:00.000 GMT+0200,27040,27127,25867,26465,0.2592
12.05.2023 23:00:00.000 GMT+0200,26465,27118,26465,26980,0.0312
13.05.2023 23:00:00.000 GMT+0200,26980,27280,26645,26987,0.37829999999999997
14.05.2023 23:00:00.000 GMT+0200,27015,27706,26781,27386,0.20889999999999997
15.05.2023 23:00:00.000 GMT+0200,27386,27423,26901,26993,0.19499999999999998
16.05.2023 23:00:00.000 GMT+0200,26993,27501,26597,27377,0.20340000000000003
17.05.2023 23:00:00.000 GMT+0200,27377,27522,26401,26760,0.1531
18.05.2023 23:00:00.000 GMT+0200,26760,27212,26673,26876,0.0374
19.05.2023 23:00:00.000 GMT+0200,26876,27190,26876,27058,0.0532
20.05.2023 23:00:00.000 GMT+0200,27058,27313,26831,26883,0.16499999999999998
21.05.2023 23:00:00.000 GMT+0200,26883,27119,26576,26933,0.050800000000000005
22.05.2023 23:00:00.000 GMT+0200,26933,27508,26837,27253,0.0519
23.05.2023 23:00:00.000 GMT+0200,27253,27289,26115,26436,0.10279999999999997
24.05.2023 23:00:00.000 GMT+0200,26436,26648,25907,26524,0.04239999999999999
25.05.2023 23:00:00.000 GMT+0200,26524,26980,26369,26795,0.0364
26.05.2023 23:00:00.000 GMT+0200,26795,26887,26602,26796,0.0183
27.05.2023 23:00:00.000 GMT+0200,26796,27782,26778,27601,0.3536
28.05.2023 23:00:00.000 GMT+0200,27601,28487,27572,27723,0.1242
29.05.2023 23:00:00.000 GMT+0200,27723,28089,27601,27810,0.060399999999999995
30.05.2023 23:00:00.000 GMT+0200,27810,27884,26881,27149,0.32560000000000006
31.05.2023 23:00:00.000 GMT+0200,27149,27379,26657,26896,0.1321
01.06.2023 23:00:00.000 GMT+0200,26896,27324,26549,27218,0.14320000000000002
02.06.2023 23:00:00.000 GMT+0200,27218,27368,27070,27098,0.09069999999999999
03.06.2023 23:00:00.000 GMT+0200,27098,27332,26962,27277,0.0383
04.06.2023 23:00:00.000 GMT+0200,27277,27495,25431,25668,0.3094
05.06.2023 23:00:00.000 GMT+0200,25668,27244,25390,26973,0.5265000000000001
06.06.2023 23:00:00.000 GMT+0200,26973,27418,26288,26396,0.5301
07.06.2023 23:00:00.000 GMT+0200,26396,26850,26158,26675,0.41769999999999996
08.06.2023 23:00:00.000 GMT+0200,26675,26813,26316,26480,0.3642000000000001
09.06.2023 23:00:00.000 GMT+0200,26480,26593,25423,25799,0.5304000000000001
10.06.2023 23:00:00.000 GMT+0200,25799,26246,25679,26159,0.2203
11.06.2023 23:00:00.000 GMT+0200,26159,26214,25657,25927,0.44149999999999995
12.06.2023 23:00:00.000 GMT+0200,25927,26463,25752,25882,0.4
13.06.2023 23:00:00.000 GMT+0200,25882,26116,24865,24961,0.2957000000000001
14.06.2023 23:00:00.000 GMT+0200,24923,25622,24795,25596,1.061
15.06.2023 23:00:00.000 GMT+0200,25560,26500,25197,26430,0.9816999999999999
16.06.2023 23:00:00.000 GMT+0200,26430,26836,26227,26569,0.21140000000000006
17.06.2023 23:00:00.000 GMT+0200,26569,26724,26398,26506,0.166
18.06.2023 23:00:00.000 GMT+0200,26506,27078,26293,26755,0.42679999999999996
19.06.2023 23:00:00.000 GMT+0200,26755,28288,26682,28195,0.275
20.06.2023 23:00:00.000 GMT+0200,28195,30809,28131,30020,0.44349999999999995
21.06.2023 23:00:00.000 GMT+0200,30008,30531,29581,30191,0.2039
22.06.2023 23:00:00.000 GMT+0200,30191,31449,29840,30966,0.2308
23.06.2023 23:00:00.000 GMT+0200,30966,31015,30331,30590,0.17119999999999996
24.06.2023 23:00:00.000 GMT+0200,30590,31071,30322,30410,0.10919999999999998
25.06.2023 23:00:00.000 GMT+0200,30410,30688,29966,30192,0.1133
26.06.2023 23:00:00.000 GMT+0200,30192,31033,30149,30687,0.0742
