Local time,Open,High,Low,Close,Volume
03.02.2021 23:00:00.000 GMT+0100,37325,38385,37306,38260,0.4585
04.02.2021 03:00:00.000 GMT+0100,38260,38313,37419,37668,0.4631
04.02.2021 07:00:00.000 GMT+0100,37668,38774,36884,37595,0.5082
04.02.2021 11:00:00.000 GMT+0100,37590,37967,37115,37647,0.4072
04.02.2021 15:00:00.000 GMT+0100,37659,37766,36247,36961,0.4193
04.02.2021 19:00:00.000 GMT+0100,36961,37852,36844,37714,0.49739999999999995
04.02.2021 23:00:00.000 GMT+0100,37713,37742,36658,36680,0.28030000000000005
05.02.2021 03:00:00.000 GMT+0100,36688,37549,36677,37126,0.2348
05.02.2021 07:00:00.000 GMT+0100,37127,37855,37098,37323,0.4414
05.02.2021 11:00:00.000 GMT+0100,37339,38373,37281,38363,0.48019999999999996
05.02.2021 15:00:00.000 GMT+0100,38367,38378,37737,37949,0.5107
05.02.2021 19:00:00.000 GMT+0100,37963,37989,37332,37887,0.2972
05.02.2021 23:00:00.000 GMT+0100,37887,39513,37750,38885,0.1317
06.02.2021 03:00:00.000 GMT+0100,38885,39706,38699,39085,0.1659
06.02.2021 07:00:00.000 GMT+0100,39082,39953,39074,39953,0.1516
06.02.2021 11:00:00.000 GMT+0100,39956,40526,39622,40190,0.1722
06.02.2021 15:00:00.000 GMT+0100,40194,41021,40194,40280,0.33
06.02.2021 19:00:00.000 GMT+0100,40282,40522,39701,40120,0.1945
06.02.2021 23:00:00.000 GMT+0100,40117,40537,38594,38702,0.28040000000000004
07.02.2021 03:00:00.000 GMT+0100,38695,38980,38034,38591,0.2263
07.02.2021 07:00:00.000 GMT+0100,38586,39746,38375,39586,0.1968
07.02.2021 11:00:00.000 GMT+0100,39586,39733,38489,38723,0.1943
07.02.2021 15:00:00.000 GMT+0100,38722,38751,37435,37941,0.2005
07.02.2021 19:00:00.000 GMT+0100,37939,38699,37811,38624,0.1877
07.02.2021 23:00:00.000 GMT+0100,38624,39193,38386,38597,0.33530000000000004
08.02.2021 03:00:00.000 GMT+0100,38597,38925,38092,38729,0.3941
08.02.2021 07:00:00.000 GMT+0100,38733,39439,38683,39028,0.4015
08.02.2021 11:00:00.000 GMT+0100,39022,44832,38939,43258,0.35100000000000003
08.02.2021 15:00:00.000 GMT+0100,43258,44376,42642,43192,0.183
08.02.2021 19:00:00.000 GMT+0100,43194,44831,42650,44777,0.14250000000000002
08.02.2021 23:00:00.000 GMT+0100,44777,47547,44354,46222,0.39830000000000004
09.02.2021 03:00:00.000 GMT+0100,46226,47308,45620,46996,0.3051
09.02.2021 07:00:00.000 GMT+0100,46996,48234,46106,46520,0.40830000000000005
09.02.2021 11:00:00.000 GMT+0100,46521,46872,45070,46353,0.3353
09.02.2021 15:00:00.000 GMT+0100,46354,47167,46120,46583,0.289
09.02.2021 19:00:00.000 GMT+0100,46583,47580,46364,47383,0.2897
09.02.2021 23:00:00.000 GMT+0100,47302,47304,46101,46367,0.2789
10.02.2021 03:00:00.000 GMT+0100,46369,46869,45722,46223,0.2374
10.02.2021 07:00:00.000 GMT+0100,46223,47002,46214,46683,0.2365
10.02.2021 11:00:00.000 GMT+0100,46681,47382,44756,45724,0.2711
