Local time,Open,High,Low,Close,Volume
31.12.2020 23:00:00.000 GMT+0100,3755.346,3755.346,3755.346,3755.346,0
01.01.2021 23:00:00.000 GMT+0100,3755.346,3755.346,3755.346,3755.346,0
02.01.2021 23:00:00.000 GMT+0100,3755.346,3755.346,3755.346,3755.346,0
03.01.2021 23:00:00.000 GMT+0100,3759.661,3781.467,3661.601,3701.367,230.62450000000004
04.01.2021 23:00:00.000 GMT+0100,3704.355,3739.664,3682.946,3724.758,199.34840000000003
05.01.2021 23:00:00.000 GMT+0100,3726.858,3783.858,3694.467,3754.446,394.6232
06.01.2021 23:00:00.000 GMT+0100,3759.661,3812.649,3750.746,3805.946,159.36599999999999
07.01.2021 23:00:00.000 GMT+0100,3805.267,3831.367,3783.701,3831.155,186.1918
08.01.2021 23:00:00.000 GMT+0100,3831.155,3831.155,3831.155,3831.155,0
09.01.2021 23:00:00.000 GMT+0100,3831.155,3831.155,3831.155,3831.155,0
10.01.2021 23:00:00.000 GMT+0100,3823.667,3828.861,3784.655,3804.046,214.58520000000004
11.01.2021 23:00:00.000 GMT+0100,3803.649,3815.264,3776.546,3801.767,156.3346
12.01.2021 23:00:00.000 GMT+0100,3801.003,3821.767,3785.258,3814.064,114.58510000000003
13.01.2021 23:00:00.000 GMT+0100,3816.161,3825.664,3793.701,3799.558,110.9818
14.01.2021 23:00:00.000 GMT+0100,3800.458,3805.064,3748.767,3757.955,212.04730000000004
15.01.2021 23:00:00.000 GMT+0100,3757.955,3757.955,3757.955,3757.955,0
16.01.2021 23:00:00.000 GMT+0100,3757.955,3757.955,3757.955,3757.955,0
17.01.2021 23:00:00.000 GMT+0100,3757.967,3776.164,3749.149,3775.349,76.03410000000001
18.01.2021 23:00:00.000 GMT+0100,3776.355,3804.667,3775.546,3796.855,123.0263
19.01.2021 23:00:00.000 GMT+0100,3803.961,3860.461,3796.452,3852.767,106.08869999999999
20.01.2021 23:00:00.000 GMT+0100,3848.949,3867.467,3844.301,3853.667,110.64370000000001
21.01.2021 23:00:00.000 GMT+0100,3855.349,3857.355,3821.646,3842.064,131.57659999999998
22.01.2021 23:00:00.000 GMT+0100,3842.064,3842.064,3842.064,3842.064,0
23.01.2021 23:00:00.000 GMT+0100,3842.064,3842.064,3842.064,3842.064,0
24.01.2021 23:00:00.000 GMT+0100,3843.652,3861.167,3796.701,3856.201,223.76930000000002
25.01.2021 23:00:00.000 GMT+0100,3854.049,3870.564,3829.846,3859.158,160.20730000000003
26.01.2021 23:00:00.000 GMT+0100,3854.257,3860.567,3714.548,3723.861,272.6528
27.01.2021 23:00:00.000 GMT+0100,3741.155,3830.667,3711.449,3788.164,319.02670000000006
28.01.2021 23:00:00.000 GMT+0100,3775.958,3783.367,3692.949,3707.901,385.86350000000004
29.01.2021 23:00:00.000 GMT+0100,3707.901,3707.901,3707.901,3707.901,0
30.01.2021 23:00:00.000 GMT+0100,3707.901,3707.901,3707.901,3707.901,0
31.01.2021 23:00:00.000 GMT+0100,3696.764,3784.961,3664.801,3765.467,244.97079999999997
01.02.2021 23:00:00.000 GMT+0100,3772.552,3843.664,3768.246,3834.064,178.4379
02.02.2021 23:00:00.000 GMT+0100,3838.261,3851.501,3816.146,3840.055,141.95440000000002
03.02.2021 23:00:00.000 GMT+0100,3840.549,3876.167,3819.301,3875.352,115.69900000000001
04.02.2021 23:00:00.000 GMT+0100,3872.367,3895.267,3867.501,3891.052,101.8517
