Local time,Open,High,Low,Close,Volume
27.12.2020 23:00:00.000 GMT+0100,3691.261,3761.149,3688.955,3755.346,393.50369999999987
03.01.2021 23:00:00.000 GMT+0100,3759.661,3831.367,3661.601,3831.155,1170.1539000000002
10.01.2021 23:00:00.000 GMT+0100,3823.667,3828.861,3748.767,3757.955,808.534
17.01.2021 23:00:00.000 GMT+0100,3757.967,3867.467,3749.149,3842.064,547.3694
24.01.2021 23:00:00.000 GMT+0100,3843.652,3870.564,3692.949,3707.901,1361.5196000000005
31.01.2021 23:00:00.000 GMT+0100,3696.764,3895.267,3664.801,3891.052,782.9137999999997
07.02.2021 23:00:00.000 GMT+0100,3897.261,3940.064,3885.146,3940.001,520.1637000000002
14.02.2021 23:00:00.000 GMT+0100,3942.546,3964.261,3884.846,3902.555,642.1097999999998
21.02.2021 23:00:00.000 GMT+0100,3912.355,3938.064,3788.655,3806.167,1718.0549000000003
28.02.2021 23:00:00.000 GMT+0100,3823.246,3915.467,3723.201,3841.755,1530.2323000000004
07.03.2021 23:00:00.000 GMT+0100,3859.864,3960.661,3799.103,3945.046,1144.6675
14.03.2021 22:00:00.000 GMT+0100,3948.949,3988.755,3886.403,3907.549,745.8642000000001
21.03.2021 22:00:00.000 GMT+0100,3903.852,3978.546,3854.046,3974.658,761.2820000000003
28.03.2021 23:00:00.000 GMT+0200,3973.255,4048.858,3939.849,4038.061,465.4646
04.04.2021 23:00:00.000 GMT+0200,4040.249,4130.461,4031.549,4121.655,312.8190000000001
11.04.2021 23:00:00.000 GMT+0200,4123.551,4191.267,4110.549,4180.564,446.6076
18.04.2021 23:00:00.000 GMT+0200,4172.849,4194.664,4118.346,4175.452,497.2611
25.04.2021 23:00:00.000 GMT+0200,4178.148,4219.255,4172.003,4189.267,342.6665000000001
02.05.2021 23:00:00.000 GMT+0200,4192.057,4238.452,4127.801,4234.158,484.69039999999995
09.05.2021 23:00:00.000 GMT+0200,4233.760,4244.867,4035.058,4178.746,868.5127000000002
16.05.2021 23:00:00.000 GMT+0200,4174.267,4189.567,4060.701,4161.358,687.7532999999999
23.05.2021 23:00:00.000 GMT+0200,4153.555,4220.846,4146.649,4207.446,367.75849999999997
30.05.2021 23:00:00.000 GMT+0200,4208.455,4234.155,4167.749,4228.152,335.30969999999985
06.06.2021 23:00:00.000 GMT+0200,4232.867,4249.963,4208.201,4246.558,291.15340000000003
13.06.2021 23:00:00.000 GMT+0200,4249.152,4267.864,4158.901,4162.767,399.98069999999996
20.06.2021 23:00:00.000 GMT+0200,4157.152,4287.761,4138.001,4282.855,361.9539
27.06.2021 23:00:00.000 GMT+0200,4286.852,4356.261,4274.857,4349.049,343.2371
04.07.2021 23:00:00.000 GMT+0200,4348.803,4372.267,4288.555,4368.361,443.2640000000002
11.07.2021 23:00:00.000 GMT+0200,4371.954,4393.069,4322.849,4323.401,420.6960999999998
18.07.2021 23:00:00.000 GMT+0200,4328.067,4416.167,4232.001,4409.761,518.4528
25.07.2021 23:00:00.000 GMT+0200,4409.264,4430.055,4372.546,4402.101,522.5615000000001
01.08.2021 23:00:00.000 GMT+0200,4403.903,4440.555,4373.346,4437.801,392.04580000000004
08.08.2021 23:00:00.000 GMT+0200,4436.352,4469.464,4419.803,4467.767,239.7611
15.08.2021 23:00:00.000 GMT+0200,4463.746,4481.967,4352.701,4438.349,515.4592000000001
22.08.2021 23:00:00.000 GMT+0200,4439.246,4513.660,4437.546,4507.958,288.6746000000001
29.08.2021 23:00:00.000 GMT+0200,4511.552,4551.467,4504.448,4535.564,236.24099999999999
05.09.2021 23:00:00.000 GMT+0200,4536.049,4549.764,4458.303,4463.267,317.7051999999999
12.09.2021 23:00:00.000 GMT+0200,4462.952,4494.367,4422.903,4426.249,520.5267000000001
19.09.2021 23:00:00.000 GMT+0200,4423.446,4465.867,4305.555,4457.061,819.8661999999996
26.09.2021 23:00:00.000 GMT+0200,4457.901,4483.361,4271.155,4358.455,863.4734000000001
03.10.2021 23:00:00.000 GMT+0200,4359.864,4431.264,4278.852,4389.558,893.1476999999999
